Symbol,Price,$ Change,% Change,Quantity,$ Unrealized,% Unrealized,Current Balance
VOO,704.0700073242188,-3.94000244140625,-0.556489652273493,10.116,0.0,0.0,7122.372194091797
BSX,44.97999954223633,-2.8199996948242188,-5.899581045678766,5.0,-12.85000228881836,-5.404837976369447,224.89999771118164
FMC,12.8100004196167,-0.15999984741210938,-1.2336148351426552,22.0,38.72000923156736,15.927605607390932,281.8200092315674
LULU,103.19000244140625,2.5800018310546875,2.564359224135852,5.0,-41.249987792968795,-7.403084672104952,515.9500122070312
NKE,38.099998474121094,-0.3000030517578125,-0.7812579162415697,7.0,-7.9100106811523005,-2.8804525258192717,266.69998931884766
RDDT,149.3800048828125,-5.0800018310546875,-3.288878421755638,5.0,438.1500244140625,141.91093908147775,746.9000244140625
ROL,34.95000076293945,-0.9099998474121094,-2.537645933975315,7.0,-14.90999465942383,-5.744334512029523,244.65000534057617
SNAP,5.429999828338623,-0.039999961853027344,-0.7312607566229153,30.0,10.499994850158686,6.889760400366591,162.8999948501587
TTD,14.020000457763672,-0.4099998474121094,-2.8413017237778564,7.0,0.14000320434570312,0.14286041259765625,98.1400032043457
ZTS,73.55999755859375,-2.25,-2.967946276823145,3.0,-7.32000732421875,-3.2105295281661186,220.67999267578125
EZPZ,19.83639907836914,-0.21360015869140625,-1.065337490370505,2.0,6.912798156738283,21.101337474781083,39.67279815673828
