Ticker,Final_Grade,Floor Tier,Status,Close Price,FCF_Yield,ROA,EV_EBITDA
CROX,91.4,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),117.53,0.09738017911951442,0.11993,7.721
DECK,90.5,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),85.81,0.07746907892065731,0.20319,7.97
FMS,80.0,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),22.66,0.16925721781245334,0.0398,8.433
OC,78.1,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),138.72,0.08448196413142842,0.05787,8.512
SHOO,73.6,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),43.68,0.06935609827545162,0.08144,12.654
SNA,73.1,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),383.0,0.05646154417378208,0.09849,13.778
ENOV,73.1,🟢 Strong Green (< -60),Live Strong Dot (Today),19.98,0.16105004216911906,0.01186,6.406
IP,71.2,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),37.24,0.08520489664089534,0.01591,7.346
REYN,71.0,🟢 Strong Green (< -60),Live Strong Dot (Today),21.87,0.052955542951146524,0.06979,8.961
FBIN,70.5,🟢 Strong Green (< -60),Live Strong Dot (Today),42.19,0.05943784201861698,0.054190002,10.483
BC,68.6,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),74.43,0.07851754127309926,0.033800002,11.313
WSM,67.9,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),227.42,0.03985000018698924,0.16636999,16.439
MTH,64.5,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),67.33,0.06999057946429905,0.03346,12.646
HON,61.9,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),209.61,0.03955138110221688,0.0572,10.869
MYRG,61.0,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),286.59,0.03952110462696499,0.08479,15.099
XYL,59.8,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),105.69,0.04659387505666004,0.051149998,13.499
EPRT,55.7,🟢 Strong Green (< -60),Live Strong Dot (Today),29.89,0.04710690607320198,0.03579,16.402
DOV,55.7,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),192.88,0.034561727308852506,0.07061,14.396
FTV,52.6,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),56.94,0.05502510248409789,0.03295,16.548
URI,50.7,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),1009.86,0.02700330623872958,0.08768,16.655
HUBG,49.0,🟢 Strong Green (< -60),Live Strong Dot (Today),36.06,0.026821145153508582,0.03162,8.035
ODFL,48.6,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),185.87,0.024960720419670963,0.15775,21.345
BJRI,48.6,🟢 Strong Green (< -60),Live Strong Dot (Today),61.08,0.038064733797464924,0.0277,13.128
IR,47.6,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),76.36,0.03800016591937359,0.051020004,16.587
IEX,46.9,🟢 Strong Green (< -60),Live Strong Dot (Today),225.66,0.033398941069698665,0.0684,18.35
LGIH,46.9,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),55.0,0.16840131424895485,0.01075,38.343
TDG,46.0,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),1162.05,0.023023534605565117,0.11817,18.651
VMC,45.2,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),262.63,0.025204521221005083,0.06044,16.58
MAC,43.6,🟢 Strong Green (< -60),Live Strong Dot (Today),23.58,0.05590131220307795,0.01342,21.18
MAR,42.6,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),336.51,0.024031242639847086,0.09761,21.824
OSW,40.7,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),22.4,0.02176980050621867,0.08231,18.849
AMAT,37.9,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),454.71,0.008196520873692376,0.15482001,35.349
TRNO,37.4,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),65.65,0.04439390050091776,0.02437,26.479
EGP,37.4,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),198.62,0.0352324655327657,0.03543,24.956
MPWR,33.3,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),1223.86,0.007420016452711251,0.13573,58.733
GIII,32.9,🟢 Strong Green (< -60),Live Strong Dot (Today),27.62,0.0,0.0,6.922
UNF,31.2,🟢 Strong Green (< -60),Live Strong Dot (Today),275.66,0.019792800716685377,0.03348,16.712
H,21.0,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),165.85,0.011213582741026778,0.02192,23.744
TTWO,18.1,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),214.69,0.03149709312924539,-0.00621,53.83
WY,11.4,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),23.02,0.000833154973962467,0.00674,31.269
RXO,8.1,🟢 Strong Green (< -60),Live Strong Dot (Today),19.92,0.0017502055587512314,-0.00263,44.787
TFIN,5.0,🟢 Strong Green (< -60),Posted Strong Dot (Yesterday),69.6,0.0,0.00556,100.0
